"Key","Value"
"Hostname","dall-mgmt-nginx"
"IPs","10.31.10.51 192.168.122.1 "
"DNS names",""
"Kernel","Linux dall-mgmt-nginx 3.10.0-327.el7.x86_64 #1 SMP Thu Nov 19 22:10:57 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:devtmpfs Used:2.0G Avail:0"
"Memory","Total:3952 Used:113 Free:3436 MBytes"
