"Key","Value"
"Hostname","dall-admp-stash01"
"IPs","10.222.22.121 "
"DNS names","localhost.localdomain"
"Kernel","Linux dall-admp-stash01 2.6.32-358.23.2.el6.x86_64 #1 SMP Wed Oct 16 18:37:12 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:134G Used:76G Avail:51G"
"Memory","Total:15943 Used:10698 Free:5245 MBytes"
