"Key","Value"
"Hostname","dall-gcwp-app01"
"IPs","10.150.1.87 "
"DNS names","dall-gcwp-app01"
"Distributor ID","Ubuntu"
"Description","Ubuntu 16.04.6 LTS"
"Release","16.04"
"Codename","xenial"
"Kernel","Linux dall-gcwp-app01 4.4.0-171-generic #200-Ubuntu SMP Tue Dec 3 11:04:55 UTC 2019 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:tmpfs Used:200M Avail:24M"
"Memory","Total:1999 Used:208 Free:1163 MBytes"
