"Package name","Release","Info"
"gir1.2-glib-2.0:amd64","1.46.0-3ubuntu1","amd64 Introspection data for GLib, GObject, Gio and GModule "
"git","1:2.7.4-0ubuntu1.7","amd64 fast, scalable, distributed revision control system "
"git-man","1:2.7.4-0ubuntu1.7","all fast, scalable, distributed revision control system (manual pages) "
"gnupg","1.4.20-1ubuntu3.3","amd64 GNU privacy guard - a free PGP replacement "
"gpgv","1.4.20-1ubuntu3.3","amd64 GNU privacy guard - signature verification tool "
"grep","2.25-1~16.04.1","amd64 GNU grep, egrep and fgrep "
"groff-base","1.22.3-7","amd64 GNU troff text-formatting system (base system components) "
"grub2-common","2.02~beta2-36ubuntu3.20","amd64 GRand Unified Bootloader (common files for version 2) "
"grub-common","2.02~beta2-36ubuntu3.20","amd64 GRand Unified Bootloader (common files) "
"grub-gfxpayload-lists","0.7","amd64 GRUB gfxpayload blacklist "
"grub-legacy-ec2","18.4-0ubuntu1~16.04.2","all Handles update-grub for ec2 instances "
"grub-pc","2.02~beta2-36ubuntu3.20","amd64 GRand Unified Bootloader, version 2 (PC/BIOS version) "
"grub-pc-bin","2.02~beta2-36ubuntu3.20","amd64 GRand Unified Bootloader, version 2 (PC/BIOS binaries) "
"gzip","1.6-4ubuntu1","amd64 GNU compression utilities "
"hdparm","9.48+ds-1ubuntu0.1","amd64 tune hard disk parameters for high performance "
"hostname","3.16ubuntu2","amd64 utility to set/show the host name or domain name "
"ifenslave","2.7ubuntu1","all configure network interfaces for parallel routing (bonding) "
"ifupdown","0.8.10ubuntu1.4","amd64 high level tools to configure network interfaces "
"info","6.1.0.dfsg.1-5","amd64 Standalone GNU Info documentation browser "
"init","1.29ubuntu4","amd64 System-V-like init utilities - metapackage "
"initramfs-tools","0.122ubuntu8.14","all generic modular initramfs generator (automation) "
"initramfs-tools-bin","0.122ubuntu8.14","amd64 binaries used by initramfs-tools "
"initramfs-tools-core","0.122ubuntu8.14","all generic modular initramfs generator (core tools) "
"initscripts","2.88dsf-59.3ubuntu2","amd64 scripts for initializing and shutting down the system "
"init-system-helpers","1.29ubuntu4","all helper tools for all init systems "
"insserv","1.14.0-5ubuntu3","amd64 boot sequence organizer using LSB init.d script dependency information "
"installation-report","2.60ubuntu1","all system installation report "
"install-info","6.1.0.dfsg.1-5","amd64 Manage installed documentation in info format "
"intel-microcode","3.20191115.1ubuntu0.16.04.2","amd64 Processor microcode firmware for Intel CPUs "
"iproute2","4.3.0-1ubuntu3.16.04.4","amd64 networking and traffic control tools "
"iptables","1.6.0-2ubuntu3","amd64 administration tools for packet filtering and NAT "
"iputils-ping","3:20121221-5ubuntu2","amd64 Tools to test the reachability of network hosts "
"iputils-tracepath","3:20121221-5ubuntu2","amd64 Tools to trace the network path to a remote host "
"irqbalance","1.1.0-2ubuntu1","amd64 Daemon to balance interrupts for SMP systems "
"isc-dhcp-client","4.3.3-5ubuntu12.10","amd64 DHCP client for automatically obtaining an IP address "
"isc-dhcp-common","4.3.3-5ubuntu12.10","amd64 common files used by all of the isc-dhcp packages "
"iso-codes","3.65-1","all ISO language, territory, currency, script codes and their translations "
"iucode-tool","1.5.1-1ubuntu0.1","amd64 Intel processor microcode tool "
"iw","3.17-1","amd64 tool for configuring Linux wireless devices "
"kbd","1.15.5-1ubuntu5","amd64 Linux console font and keytable utilities "
"keyboard-configuration","1.108ubuntu15.4","all system-wide keyboard preferences "
"klibc-utils","2.0.4-8ubuntu1.16.04.4","amd64 small utilities built with klibc for early boot "
"kmod","22-1ubuntu5.2","amd64 tools for managing Linux kernel modules "
"krb5-locales","1.13.2+dfsg-5ubuntu2.1","all Internationalization support for MIT Kerberos "
"language-pack-en","1:16.04+20161009","all translation updates for language English "
"language-pack-en-base","1:16.04+20160627","all translations for language English "
"language-selector-common","0.165.4","all Language selector for Ubuntu "
"laptop-detect","0.13.7ubuntu2","amd64 attempt to detect a laptop "
"less","481-2.1ubuntu0.2","amd64 pager program similar to more "
"libaccountsservice0:amd64","0.6.40-2ubuntu11.3","amd64 query and manipulate user account information - shared libraries "
"libacl1:amd64","2.2.52-3","amd64 Access control list shared library "
"libaio1:amd64","0.3.110-2","amd64 Linux kernel AIO access library - shared library "
"libapache2-mod-php7.3","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 server-side, HTML-embedded scripting language (Apache 2 module) "
"libapparmor1:amd64","2.10.95-0ubuntu2.11","amd64 changehat AppArmor library "
"libapparmor-perl","2.10.95-0ubuntu2.11","amd64 AppArmor library Perl bindings "
"libapr1:amd64","1.5.2-3","amd64 Apache Portable Runtime Library "
"libaprutil1:amd64","1.5.4-1build1","amd64 Apache Portable Runtime Utility Library "
"libaprutil1-dbd-sqlite3:amd64","1.5.4-1build1","amd64 Apache Portable Runtime Utility Library - SQLite3 Driver "
"libaprutil1-ldap:amd64","1.5.4-1build1","amd64 Apache Portable Runtime Utility Library - LDAP Driver "
"libapt-inst2.0:amd64","1.2.29ubuntu0.1","amd64 deb package format runtime library "
"libapt-pkg5.0:amd64","1.2.29ubuntu0.1","amd64 package management runtime library "
"libargon2-0:amd64","0~20161029-1+ubuntu16.04.1+deb.sury.org+1","amd64 memory-hard hashing function - runtime library "
"libasn1-8-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - ASN.1 library "
"libasprintf0v5:amd64","0.19.7-2ubuntu3.1","amd64 GNU library to use fprintf and friends in C++ "
"libatm1:amd64","1:2.5.1-1.5","amd64 shared library for ATM (Asynchronous Transfer Mode) "
"libattr1:amd64","1:2.4.47-2","amd64 Extended attribute shared library "
"libaudit1:amd64","1:2.4.5-1ubuntu2.1","amd64 Dynamic library for security auditing "
"libaudit-common","1:2.4.5-1ubuntu2.1","all Dynamic library for security auditing - common files "
"libbind9-140:amd64","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 BIND9 Shared Library used by BIND "
"libblkid1:amd64","2.27.1-6ubuntu3.6","amd64 block device ID library "
"libbsd0:amd64","0.8.2-1","amd64 utility functions from BSD systems - shared library "
"libbz2-1.0:amd64","1.0.6-8ubuntu0.2","amd64 high-quality block-sorting file compressor library - runtime "
"libc6:amd64","2.23-0ubuntu11","amd64 GNU C Library: Shared libraries "
"libcap2:amd64","1:2.24-12","amd64 POSIX 1003.1e capabilities (library) "
"libcap2-bin","1:2.24-12","amd64 POSIX 1003.1e capabilities (utilities) "
"libcap-ng0:amd64","0.7.7-1","amd64 An alternate POSIX capabilities library "
"libc-bin","2.23-0ubuntu11","amd64 GNU C Library: Binaries "
"libcgi-fast-perl","1:2.10-1","all CGI subclass for work with FCGI "
"libcgi-pm-perl","4.26-1","all module for Common Gateway Interface applications "
"libcomerr2:amd64","1.42.13-1ubuntu1.1","amd64 common error description library "
"libcryptsetup4:amd64","2:1.6.6-5ubuntu2.1","amd64 disk encryption support - shared library "
"libcurl3:amd64","7.47.0-1ubuntu2.14","amd64 easy-to-use client-side URL transfer library (OpenSSL flavour) "
"libcurl3-gnutls:amd64","7.47.0-1ubuntu2.14","amd64 easy-to-use client-side URL transfer library (GnuTLS flavour) "
