"Key","Value"
"Hostname","ubuntu"
"IPs","10.31.10.143 "
"DNS names","ubuntu.balfour.corp"
"Distributor ID","Ubuntu"
"Description","Ubuntu 12.04.4 LTS"
"Release","12.04"
"Codename","precise"
"Kernel","Linux ubuntu 3.8.0-29-generic #42~precise1-Ubuntu SMP Wed Aug 14 16:19:23 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:udev Used:2.0G Avail:4.0K"
"Memory","Total:3947 Used:395 Free:3552 MBytes"
