"Key","Value"
"Hostname","dall-cisd-slt02"
"IPs","10.31.40.69 "
"DNS names","dall-cisd-slt02.balfour.corp"
"Distributor ID","Ubuntu"
"Description","Ubuntu 12.04.4 LTS"
"Release","12.04"
"Codename","precise"
"Kernel","Linux dall-cisd-slt02 3.8.0-29-generic #42~precise1-Ubuntu SMP Wed Aug 14 16:19:23 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:udev Used:989M Avail:4.0K"
"Memory","Total:1995 Used:835 Free:1160 MBytes"
