"Key","Value"
"Hostname","ubuntu"
"IPs","10.222.22.55 "
"DNS names","ubuntu.balfour.corp"
"Distributor ID","Ubuntu"
"Description","Ubuntu 12.04.4 LTS"
"Release","12.04"
"Codename","precise"
"Kernel","Linux ubuntu 3.8.0-29-generic #42~precise1-Ubuntu SMP Wed Aug 14 16:19:23 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:udev Used:989M Avail:4.0K"
"Memory","Total:1995 Used:524 Free:1471 MBytes"
